name,team,priority
Tourè E.,Atalanta,1
Krstovic,Atalanta,2
Scamacca,Atalanta,3
Immobile,Bologna,1
Orsolini,Bologna,2
Bernardeschi,Bologna,3
Piccoli,Cagliari,1
Mina,Cagliari,2
Esposito Se.,Cagliari,3
Morata,Como,1
Alli,Como,2
Douvikas,Como,3
Vazquez,Cremonese,1
De Luca,Cremonese,2
Bonazzoli,Cremonese,3
Kean,Fiorentina,1
Gudmundsson A.,Fiorentina,2
Ranieri L.,Fiorentina,3
Malinovskyi,Genoa,1
Colombo,Genoa,2
Gronbaek,Genoa,3
Calhanoglu,Inter,1
Zielinski,Inter,2
Bonny,Inter,3
David,Juventus,1
Vlahovic,Juventus,2
Locatelli,Juventus,3
Zaccagni,Lazio,1
Castellanos,Lazio,2
Dia,Lazio,3
Camarda,Lecce,1
Jimenez A.,Milan,1
Pulisic,Milan,2
Modric,Milan,3
Lukaku,Napoli,1
De Bruyne,Napoli,2
Lucca,Napoli,3
Nzola,Pisa,1
Caracciolo A.,Pisa,2
Buffon L.,Pisa,3
Ferguson E.,Roma,1
Dybala,Roma,2
El Aynaoui,Roma,3
Berardi,Sassuolo,1
Pinamonti,Sassuolo,2
Thorstvedt,Sassuolo,3
Dembelè A.,Torino,1
Vlasic,Torino,2
Ngonge,Torino,3
Solet,Udinese,1
Ekkelenkamp,Udinese,2
Bravo,Udinese,3
Suslov,Verona,1
Harroui,Verona,2
Sarr A.,Verona,3
